,Neighbourhood,Detailsـtransaction,Date,Total_price,Area,Price_per_meter
92,البرية,683,"Sunday, 16 January 2022 ",390000.0,630.00,619.00
93,البطحاء,بدون,"Thursday, 13 January 2022 ",82140.0,2.73,30128.00
94,البيان,101/3,"Tuesday, 11 January 2022 ",1561331.0,265.69,5877.00
95,البيان,101/3,"Tuesday, 11 January 2022 ",868829.0,265.69,3270.00
96,البيان,281/8,"Thursday, 13 January 2022 ",967500.0,450.00,2150.00
97,البيان,32/8,"Sunday, 9 January 2022 ",1700000.0,367.79,4622.00
98,البيان,416/1,"Monday, 3 January 2022 ",651089.0,351.94,1850.00
99,البيان,416/2,"Monday, 3 January 2022 ",652106.0,352.49,1850.00
100,البيان,416/3,"Monday, 3 January 2022 ",723158.0,352.76,2050.00
101,البيان,416/4,"Tuesday, 11 January 2022 ",740775.0,352.75,2100.00
102,البيان,416/5,"Wednesday, 12 January 2022 ",740166.0,352.46,2100.00
103,البيان,416/6,"Sunday, 9 January 2022 ",721354.0,351.88,2050.00
104,البيان,463/2/2,"Tuesday, 18 January 2022 ",561000.0,220.72,2542.00
105,البيان,597/2,"Wednesday, 5 January 2022 ",1050000.0,375.00,2800.00
106,البيان,366/2,"Sunday, 30 January 2022 ",940000.0,450.00,2089.00
107,البيان,414/2,"Monday, 17 January 2022 ",861000.0,420.00,2050.00
108,البيان,74/2/1,"Sunday, 30 January 2022 ",702000.0,360.00,1950.00
109,البيان,11/2,"Thursday, 27 January 2022 ",962500.0,437.50,2200.00
110,البيان,1319,"Wednesday, 26 January 2022 ",9601707.0,10107.06,950.00
111,البيان,618/1,"Friday, 21 January 2022 ",924000.0,420.00,2200.00
112,البيان,618/2,"Friday, 21 January 2022 ",1056000.0,480.00,2200.00
113,البيان,293,"Monday, 17 January 2022 ",1327500.0,750.00,1770.00
114,التعاون,106/2,"Wednesday, 5 January 2022 ",1400000.0,337.50,4148.00
115,التعاون,عدد العقارات 2-أول ق…,"Monday, 31 January 2022 ",2250000.0,600.00,3750.00
116,التعاون,1504,"Thursday, 27 January 2022 ",3037500.0,675.00,4500.00
117,التعاون,171/1,"Tuesday, 11 January 2022 ",1791626.0,378.00,4740.00
118,الثقبة,49/1,"Wednesday, 26 January 2022 ",2209320.0,581.40,3800.00
119,الثقبة,1637/1,"Sunday, 30 January 2022 ",782850.0,307.00,2550.00
120,الثقبة,1639/1,"Sunday, 30 January 2022 ",782850.0,307.00,2550.00
121,الثقبة,1639/2,"Sunday, 30 January 2022 ",782850.0,307.00,2550.00
122,الثقبة,1641/1,"Monday, 31 January 2022 ",785400.0,308.00,2550.00
123,الثقبة,1641/2,"Sunday, 9 January 2022 ",796250.0,325.00,2450.00
124,الجرادية,137,"Sunday, 2 January 2022 ",880000.0,196.00,4490.00
125,الجرادية,36,"Wednesday, 26 January 2022 ",950000.0,271.50,3499.00
126,الجرادية,23,"Saturday, 8 January 2022 ",100000.0,323.00,310.00
127,الجرادية,بدون,"Tuesday, 25 January 2022 ",800000.0,375.30,2132.00
128,الجرادية,عدد العقارات 2-أول ق…,"Sunday, 9 January 2022 ",4300000.0,1200.00,3583.00
129,الجرادية,3,"Tuesday, 4 January 2022 ",600000.0,212.87,2819.00
130,الجزيرة,15/8/110,"Wednesday, 19 January 2022 ",1000000.0,484.00,2066.00
131,الجزيرة,16/-/25,"Thursday, 27 January 2022 ",300000.0,484.00,620.00
132,الجزيرة,16/12/62,"Thursday, 27 January 2022 ",1328796.0,484.00,2745.00
133,الجزيرة,16/9/95,"Thursday, 6 January 2022 ",300000.0,484.00,620.00
134,الجزيرة,4/3/33,"Sunday, 30 January 2022 ",300000.0,484.00,620.00
135,الجزيرة,5/-/710,"Monday, 17 January 2022 ",300000.0,484.00,620.00
136,الجزيرة,5/34/255,"Monday, 24 January 2022 ",300000.0,484.00,620.00
137,الجزيرة,5/35/78,"Thursday, 6 January 2022 ",483400.0,484.00,999.00
138,الجزيرة,5/36/279,"Thursday, 6 January 2022 ",300000.0,484.00,620.00
139,الجزيرة,5/40/357,"Thursday, 27 January 2022 ",1000000.0,484.00,2066.00
140,الجزيرة,5/55/328,"Thursday, 27 January 2022 ",300000.0,484.00,620.00
141,الجزيرة,6/11/19,"Sunday, 23 January 2022 ",1600000.0,484.00,3306.00
142,الجزيرة,7/22/28,"Thursday, 27 January 2022 ",300000.0,484.00,620.00
143,الجنادرية,442,"Tuesday, 4 January 2022 ",550000.0,337.50,1630.00
144,الجنادرية,825/17,"Wednesday, 26 January 2022 ",1000000.0,324.00,3086.00
145,الجنادرية,236,"Tuesday, 4 January 2022 ",800000.0,600.00,1333.00
146,الجنادرية,281/283/2,"Saturday, 22 January 2022 ",567000.0,270.00,2100.00
147,الجنادرية,281/283/3,"Sunday, 23 January 2022 ",567000.0,270.00,2100.00
148,الجنادرية,460,"Tuesday, 25 January 2022 ",353100.0,625.00,565.00
149,الجنادرية,100/1074/1,"Monday, 31 January 2022 ",540000.0,300.00,1800.00
150,الجنادرية,1261/1,"Thursday, 27 January 2022 ",982572.0,318.63,3084.00
151,الجنادرية,450,"Monday, 17 January 2022 ",600000.0,380.55,1577.00
152,الجنادرية,893/2,"Monday, 24 January 2022 ",1119000.0,300.00,3730.00
153,الجنادرية,97/1075/1,"Monday, 31 January 2022 ",540000.0,300.00,1800.00
154,الجنادرية,97/1075/2,"Monday, 31 January 2022 ",540000.0,300.00,1800.00
155,الجنادرية,108/1,"Tuesday, 18 January 2022 ",1220000.0,270.00,4519.00
156,الجنادرية,575/1/1/1,"Wednesday, 5 January 2022 ",936013.0,337.50,2773.00
157,الجهه الغربية,21,"Tuesday, 25 January 2022 ",2756215.0,2505.65,1100.00
158,الجهه الغربية,24,"Wednesday, 19 January 2022 ",2753641.0,2503.31,1100.00
159,الحائر,148,"Sunday, 16 January 2022 ",350000.0,600.00,583.00
160,الحائر,23,"Sunday, 16 January 2022 ",335000.0,600.00,558.00
161,الحائر,25,"Sunday, 16 January 2022 ",335000.0,600.00,558.00
162,الحائر,114,"Monday, 24 January 2022 ",250000.0,739.31,338.00
163,الحائر,115,"Monday, 24 January 2022 ",250000.0,739.31,338.00
164,الحائر,124,"Tuesday, 18 January 2022 ",250000.0,588.00,425.00
165,الحائر,126,"Monday, 17 January 2022 ",200000.0,588.00,340.00
166,الحائر,35,"Tuesday, 4 January 2022 ",23520.0,588.00,40.00
167,الحائر,37,"Thursday, 27 January 2022 ",23520.0,588.00,40.00
168,الحائر,38,"Thursday, 27 January 2022 ",23520.0,588.00,40.00
169,الحائر,47,"Tuesday, 4 January 2022 ",28048.0,588.00,48.00
170,الحائر,بدون,"Monday, 3 January 2022 ",406000.0,390.00,1041.00
171,الحائر,بدون,"Wednesday, 5 January 2022 ",25000.0,400.00,63.00
172,الحائر,بدون,"Wednesday, 5 January 2022 ",25000.0,400.00,63.00
173,الحائر,بدون,"Wednesday, 26 January 2022 ",100000.0,400.00,250.00
174,الحائر,بدون,"Wednesday, 26 January 2022 ",600000.0,404.00,1485.00
175,الحائر,بدون,"Wednesday, 26 January 2022 ",25000.0,394.87,63.00
176,الحزم,126/1/1,"Thursday, 13 January 2022 ",1015000.0,253.00,4012.00
177,الحزم,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",2391600.0,1195.80,2000.00
178,الحزم,9,"Tuesday, 25 January 2022 ",500000.0,495.62,1009.00
179,الحزم,عدد العقارات 2-أول ق…,"Wednesday, 19 January 2022 ",3201800.0,1600.90,2000.00
180,الحزم,1467/2,"Tuesday, 25 January 2022 ",360000.0,300.00,1200.00
181,الحزم,1820/1,"Thursday, 6 January 2022 ",630000.0,350.00,1800.00
182,الحزم,2544/1,"Wednesday, 12 January 2022 ",375000.0,300.00,1250.00
183,الحزم,652/1,"Monday, 24 January 2022 ",437500.0,312.50,1400.00
184,الحزم,662/1,"Tuesday, 4 January 2022 ",1170000.0,312.50,3744.00
185,الحزم,614,"Sunday, 9 January 2022 ",1260000.0,900.00,1400.00
186,الحزم,1101/2,"Tuesday, 11 January 2022 ",1000000.0,375.00,2667.00
187,الحزم,1944,"Wednesday, 26 January 2022 ",805000.0,700.00,1150.00
188,الحزم,384/1,"Tuesday, 25 January 2022 ",1280000.0,390.00,3282.00
189,الحزم,647,"Thursday, 6 January 2022 ",1250000.0,525.00,2381.00
190,الحزم,649,"Thursday, 6 January 2022 ",720000.0,525.00,1371.00
191,الحزم,689,"Thursday, 13 January 2022 ",82140.0,15.00,5476.00
192,الحزم,804/1,"Sunday, 23 January 2022 ",362315.0,312.50,1159.00
193,الحزم,93,"Monday, 31 January 2022 ",2200000.0,650.00,3385.00
194,الحمراء,3,"Wednesday, 26 January 2022 ",42770000.0,9100.00,4700.00
195,الحمراء,822,"Tuesday, 18 January 2022 ",4179150.0,1129.50,3700.00
196,الحمراء,1372,"Wednesday, 5 January 2022 ",13000000.0,1593.66,8157.00
197,الحمراء,32,"Tuesday, 4 January 2022 ",5000000.0,1161.00,4307.00
198,الحمراء,47/2/2,"Thursday, 27 January 2022 ",1347500.0,371.25,3630.00
199,الحمراء,675/2,"Tuesday, 18 January 2022 ",4700000.0,618.75,7596.00
200,الخالدية,23,"Wednesday, 19 January 2022 ",500000.0,528.00,947.00
201,الخالدية,700,"Wednesday, 19 January 2022 ",650000.0,625.00,1040.00
202,الخالدية,بدون,"Wednesday, 12 January 2022 ",50000.0,120.00,417.00
203,الخالدية,بدون,"Wednesday, 12 January 2022 ",50000.0,90.00,556.00
204,الخالدية,بدون,"Thursday, 20 January 2022 ",80000.0,110.00,727.00
205,الخليج,1568/2,"Saturday, 8 January 2022 ",850000.0,450.00,1889.00
206,الخليج,1841,"Thursday, 27 January 2022 ",900000.0,450.00,2000.00
207,الخليج,1002,"Wednesday, 19 January 2022 ",1664000.0,800.00,2080.00
208,الخليج,1525/2,"Wednesday, 5 January 2022 ",750000.0,390.00,1923.00
209,الخليج,55,"Sunday, 30 January 2022 ",800000.0,540.00,1481.00
210,الخليج,745,"Wednesday, 12 January 2022 ",590000.0,360.00,1639.00
211,الخليج,930/1,"Sunday, 9 January 2022 ",910800.0,396.00,2300.00
212,الخليج,930/2,"Sunday, 9 January 2022 ",910800.0,396.00,2300.00
213,الخليج,65,"Monday, 17 January 2022 ",934753.0,525.00,1780.00
214,الخليج,78,"Tuesday, 25 January 2022 ",1000000.0,625.00,1600.00
215,الخليج,189,"Wednesday, 19 January 2022 ",5300000.0,1050.00,5048.00
216,الخليج,227/1/3,"Sunday, 23 January 2022 ",1350000.0,339.20,3980.00
217,الخليج,337,"Sunday, 30 January 2022 ",2380000.0,750.00,3173.00
218,الخليج,عدد العقارات 14-أول…,"Monday, 24 January 2022 ",22978800.0,9820.00,2340.00
219,الخويلدية,848/2,"Tuesday, 25 January 2022 ",300000.0,300.00,1000.00
220,الخير,108,"Tuesday, 18 January 2022 ",1900000.0,960.00,1979.00
221,الخير,125/2,"Monday, 31 January 2022 ",850000.0,450.00,1889.00
222,الخير,33/1,"Thursday, 27 January 2022 ",1020000.0,510.00,2000.00
223,الخير,33/2,"Thursday, 27 January 2022 ",780000.0,390.00,2000.00
224,الخير,62/1,"Tuesday, 25 January 2022 ",1000000.0,480.00,2083.00
225,الخير,1016,"Wednesday, 5 January 2022 ",1200000.0,800.00,1500.00
226,الخير,1394,"Wednesday, 19 January 2022 ",1200000.0,840.00,1429.00
227,الخير,1534,"Wednesday, 5 January 2022 ",1155000.0,800.00,1444.00
228,الخير,1850,"Tuesday, 25 January 2022 ",1350000.0,800.00,1688.00
229,الخير,1913,"Sunday, 9 January 2022 ",1200000.0,800.00,1500.00
230,الخير,1941,"Monday, 31 January 2022 ",1200000.0,800.00,1500.00
231,الخير,2018,"Wednesday, 12 January 2022 ",2000000.0,800.00,2500.00
232,الخير,329,"Monday, 17 January 2022 ",1500000.0,840.00,1786.00
233,الخير,421,"Wednesday, 5 January 2022 ",1300000.0,800.00,1625.00
234,الخير,423,"Sunday, 30 January 2022 ",1340000.0,800.00,1675.00
235,الخير,724,"Sunday, 23 January 2022 ",1250000.0,800.00,1563.00
236,الخير,923,"Thursday, 6 January 2022 ",1350000.0,800.00,1688.00
237,الخير,عدد العقارات 2-أول ق…,"Sunday, 2 January 2022 ",2350000.0,1600.00,1469.00
238,الخير,1016/3,"Monday, 3 January 2022 ",600000.0,312.50,1920.00
239,الخير,1158,"Tuesday, 11 January 2022 ",1500000.0,875.00,1714.00
240,الخير,1280/1,"Sunday, 16 January 2022 ",640000.0,420.00,1524.00
241,الخير,1281/2,"Monday, 31 January 2022 ",680000.0,420.00,1619.00
242,الخير,1348/1,"Sunday, 2 January 2022 ",590000.0,332.13,1776.00
243,الخير,1359,"Wednesday, 5 January 2022 ",1850000.0,1542.51,1199.00
244,الخير,1373,"Wednesday, 5 January 2022 ",2000000.0,1582.93,1263.00
245,الخير,1428/1,"Tuesday, 18 January 2022 ",700000.0,487.50,1436.00
246,الخير,1428/2,"Monday, 17 January 2022 ",680000.0,487.50,1395.00
247,الخير,1724,"Monday, 17 January 2022 ",2300000.0,1906.16,1207.00
248,الخير,1726,"Monday, 31 January 2022 ",1928340.0,1606.95,1200.00
249,الخير,1826,"Wednesday, 19 January 2022 ",1500000.0,937.50,1600.00
250,الخير,1949,"Wednesday, 26 January 2022 ",1370000.0,875.00,1566.00
251,الخير,2002,"Thursday, 6 January 2022 ",2000000.0,1034.45,1933.00
252,الخير,2069,"Thursday, 6 January 2022 ",1500000.0,875.00,1714.00
253,الخير,2172,"Thursday, 13 January 2022 ",1440000.0,875.00,1646.00
254,الخير,2174,"Thursday, 13 January 2022 ",1440000.0,875.00,1646.00
255,الخير,2179,"Wednesday, 12 January 2022 ",1450000.0,910.00,1593.00
256,الخير,219,"Monday, 10 January 2022 ",1480000.0,875.00,1691.00
257,الخير,2213/2,"Tuesday, 25 January 2022 ",800000.0,455.00,1758.00
258,الخير,2223/1,"Wednesday, 19 January 2022 ",800000.0,472.50,1693.00
259,الخير,2223/2,"Wednesday, 12 January 2022 ",800000.0,472.50,1693.00
260,الخير,2247,"Tuesday, 25 January 2022 ",1400000.0,1000.00,1400.00
261,الخير,250/1,"Tuesday, 4 January 2022 ",750000.0,422.50,1775.00
262,الخير,2516/2,"Wednesday, 26 January 2022 ",750000.0,437.50,1714.00
263,الخير,2528/2,"Monday, 24 January 2022 ",700000.0,441.81,1584.00
264,الخير,254/2,"Sunday, 23 January 2022 ",750000.0,422.50,1775.00
265,الخير,2623/1,"Sunday, 30 January 2022 ",700000.0,450.00,1556.00
266,الخير,2637,"Tuesday, 18 January 2022 ",1425000.0,1059.13,1345.00
267,الخير,2638,"Tuesday, 18 January 2022 ",1450000.0,1041.45,1392.00
268,الخير,2641,"Tuesday, 18 January 2022 ",1425000.0,1003.11,1421.00
269,الخير,2687,"Wednesday, 19 January 2022 ",1400000.0,875.00,1600.00
270,الخير,2784/1,"Thursday, 27 January 2022 ",800000.0,455.00,1758.00
271,الخير,2806/1,"Tuesday, 11 January 2022 ",650000.0,437.50,1486.00
272,الخير,281/1,"Wednesday, 5 January 2022 ",690000.0,455.00,1516.00
273,الخير,281/2,"Wednesday, 5 January 2022 ",690000.0,455.00,1516.00
274,الخير,2839,"Thursday, 6 January 2022 ",1350000.0,875.00,1543.00
275,الخير,3216/2,"Wednesday, 12 January 2022 ",650000.0,371.87,1748.00
276,الخير,3218/1,"Monday, 31 January 2022 ",750000.0,371.88,2017.00
277,الخير,3218/2,"Monday, 31 January 2022 ",750000.0,371.88,2017.00
278,الخير,3224/1,"Wednesday, 19 January 2022 ",600000.0,370.00,1622.00
279,الخير,3224/2,"Wednesday, 19 January 2022 ",600000.0,370.00,1622.00
280,الخير,3236,"Sunday, 2 January 2022 ",1390000.0,875.00,1589.00
281,الخير,3274/1,"Monday, 31 January 2022 ",715000.0,455.00,1571.00
282,الخير,329,"Tuesday, 11 January 2022 ",1510000.0,975.00,1549.00
283,الخير,3325,"Monday, 3 January 2022 ",1720000.0,910.00,1890.00
284,الخير,3386/1,"Sunday, 30 January 2022 ",750000.0,437.50,1714.00
285,الخير,3536/2,"Tuesday, 4 January 2022 ",650000.0,437.50,1486.00
286,الخير,3544/2,"Thursday, 6 January 2022 ",630000.0,437.50,1440.00
287,الخير,3550,"Wednesday, 12 January 2022 ",1500000.0,875.00,1714.00
288,الخير,3790,"Monday, 3 January 2022 ",1300000.0,875.00,1486.00
289,الخير,3972,"Monday, 3 January 2022 ",1250000.0,875.00,1429.00
290,الخير,3974,"Monday, 3 January 2022 ",1500000.0,875.00,1714.00
291,الخير,3996,"Sunday, 23 January 2022 ",1380000.0,910.00,1516.00
292,الخير,4091/1,"Monday, 17 January 2022 ",700000.0,420.00,1667.00
293,الخير,4091/2,"Monday, 17 January 2022 ",700000.0,420.00,1667.00
294,الخير,4117/2/1,"Saturday, 22 January 2022 ",800000.0,451.08,1774.00
295,الخير,4241,"Tuesday, 4 January 2022 ",1300000.0,937.50,1387.00
296,الخير,4313,"Thursday, 13 January 2022 ",1350000.0,875.00,1543.00
297,الخير,4358,"Tuesday, 4 January 2022 ",1233333.0,843.50,1462.00
298,الخير,4360,"Tuesday, 4 January 2022 ",1233333.0,843.50,1462.00
299,الخير,4362,"Tuesday, 4 January 2022 ",1233333.0,809.76,1523.00
300,الخير,4368/1,"Monday, 3 January 2022 ",625000.0,404.88,1544.00
301,الخير,4368/2,"Monday, 3 January 2022 ",625000.0,404.88,1544.00
302,الخير,4416/1,"Sunday, 9 January 2022 ",650000.0,437.50,1486.00
303,الخير,4455,"Tuesday, 25 January 2022 ",1584812.0,922.29,1718.00
304,الخير,4456,"Tuesday, 25 January 2022 ",1565188.0,910.00,1720.00
305,الخير,4459,"Sunday, 23 January 2022 ",1400000.0,910.00,1538.00
306,الخير,4637,"Sunday, 9 January 2022 ",680000.0,405.00,1679.00
307,الخير,4641,"Sunday, 2 January 2022 ",600000.0,405.00,1481.00
308,الخير,4769,"Monday, 24 January 2022 ",1300000.0,937.50,1387.00
309,الخير,4785,"Saturday, 8 January 2022 ",1200000.0,875.00,1371.00
310,الخير,4785,"Monday, 10 January 2022 ",1395000.0,875.00,1594.00
311,الخير,4810,"Sunday, 30 January 2022 ",1220000.0,875.00,1394.00
312,الخير,4822,"Tuesday, 25 January 2022 ",1330000.0,910.00,1462.00
313,الخير,4943/أ,"Wednesday, 26 January 2022 ",780000.0,490.00,1592.00
314,الخير,4946/ا,"Monday, 24 January 2022 ",800000.0,490.00,1633.00
315,الخير,495/2,"Sunday, 16 January 2022 ",750000.0,437.50,1714.00
316,الخير,50/1,"Sunday, 2 January 2022 ",800000.0,504.66,1585.00
317,الخير,50/2,"Sunday, 2 January 2022 ",800000.0,480.00,1667.00
318,الخير,5033/1,"Monday, 17 January 2022 ",565000.0,354.21,1595.00
319,الخير,5033/2,"Monday, 17 January 2022 ",565000.0,355.75,1588.00
320,الخير,5069/1,"Thursday, 6 January 2022 ",700000.0,437.50,1600.00
321,الخير,5117/1,"Tuesday, 25 January 2022 ",700000.0,437.50,1600.00
322,الخير,5126/1,"Tuesday, 4 January 2022 ",590000.0,370.65,1592.00
323,الخير,5159,"Wednesday, 26 January 2022 ",1440000.0,875.00,1646.00
324,الخير,5166,"Sunday, 16 January 2022 ",1260000.0,875.00,1440.00
325,الخير,5168,"Tuesday, 18 January 2022 ",1350000.0,910.00,1484.00
326,الخير,5171/2,"Wednesday, 12 January 2022 ",660000.0,455.00,1451.00
327,الخير,5185/2,"Sunday, 23 January 2022 ",645000.0,420.00,1536.00
328,الخير,5232/1,"Tuesday, 4 January 2022 ",730000.0,500.00,1460.00
329,الخير,5232/2,"Tuesday, 4 January 2022 ",700000.0,500.00,1400.00
330,الخير,5238/2,"Thursday, 6 January 2022 ",500000.0,325.00,1538.00
331,الخير,5238/2,"Sunday, 16 January 2022 ",620000.0,325.00,1908.00
332,الخير,5250/1,"Wednesday, 19 January 2022 ",650000.0,437.50,1486.00
333,الخير,5308,"Thursday, 20 January 2022 ",1350000.0,910.00,1484.00
334,الخير,5340/1,"Thursday, 27 January 2022 ",750000.0,455.00,1648.00
335,الخير,5361/1,"Wednesday, 12 January 2022 ",635000.0,397.25,1598.00
336,الخير,5361/2,"Tuesday, 11 January 2022 ",640000.0,397.25,1611.00
337,الخير,5452/1,"Monday, 3 January 2022 ",630000.0,487.50,1292.00
338,الخير,5452/2,"Monday, 3 January 2022 ",630000.0,487.50,1292.00
